id,NewsText,label
1000,Nan ne muka kawo karshen labarai da rahotannin na wannan rana,0
1001,Sai ku kasance tare da mu a gobe Litinin idan rai ya kai mu domin sake kawo muku wasu labarai da rahotannin na musamman,0
1002,Rahotanni sun ce tawagar bincike ta Saudiyya a Jami’ar Imam Abdulrahman bin Faisal ta samar da rigakafin korona kuma suna fatan fara gwajin rigakafin ba da dadewa ba,1
1003,"Jaridar Saudiyya da ake bugawa a London Al-Sharq al-Awsat ce ta bayar da rahoton a ranar Asabar inda ta ce tawagar wacce mace ke jagoranta, Farfesa Iman al-Mansour ta kammala gwajin farko kuma an har an wallafa sakamakon binciken na kimiya",1
1004,Yanzu ana jiran tabbatar da ingancin rigakafin da nufin samun lasisin amfani da rigakafin a Saudiyya,1
1005,Ma’aikatar ilimi ta Saudiyya ce ta ɗauki nauyin gudanar da aikin binciken,1
1006,Tuni dai Saudiyya ta ce za ta kaddamar da aikin rigakafi a ƙasar na kamfanin Pfizer-BioNtech,1
1007,"Babban hafsan sojojin Najeriya, Janar Tukur Buratai, ya yaba wa dakarunsa da suka kwato sansanin sojoji a yankin arewa maso gabashin kasar da mayaƙan jihadi suka yi iƙirarin kwace wa",1
1008,"Wani mai magana da yawun rundunar sojin ya ce sojojin sama sun taka rawar gani, tare da kai hare-hare wajen fatattakar mayaƙan da suka abka wa sansanin  ɗauke da muggan makamai domin kwace sansanin da ke Marte a jihar Borno",1
1009,Rahotanni sun ce an shafe tsawon sa’a takwas ana gwabza fada tsakanin mayaƙan ISWAP da ta balle daga Boko Haram da kuma sojin Najeriya,0
1010,ISWAP ta ce ta tarwatsa garin tare da kone sansanin da kuma kashe sojoji da dama,-1
1011,Gwamnatin Najeriya ta ce dole a yi wa jami’an diflomasiya rijistar lambar NIN,1
1012,"Ministan sadarwa Dakta Isa Ibrahim Pantami, ne ya bayar da umurnin samar da cibiyar yin rijistar ga jami’an diflomasiyya a ma’aikatar harakokin wajen Najeriya a cikin wata sanarwa",1
